Metros	ID	Dir3	LATLON	EXCEL	LATLON
34	46320	Calle Josefa Valcárcel 44 28027 Madrid (Madrid)	40.4479842,-3.6400618	C/ Josefa Valcarcel, 28 y 44 28071 - Madrid	40.4482923,-3.6400921
17	49393	Paseo Del Prado 18-20 28071 Madrid (Madrid)	40.4133967,-3.694118	Paseo del Prado, 18-20	40.4132403,-3.6941106
2	1266	Calle Alcalá 9 28071 Madrid (Madrid)	40.4176416,-3.7013019	Calle Alcala 9 28071 Madrid (Madrid)	40.4176193,-3.7012871
16	27891	Calle Huesca 31 28020 Madrid (Madrid)	40.4580506,-3.696157	C/ Huesca, 31. 28020 - MADRID	40.4580766,-3.696344
51	31753	Calle Campezo 1 28022 Madrid (Madrid)	40.4484024,-3.5818388	Calle Campezo 1 28022 Madrid	40.447938,-3.5818723
3465	49397	Calle Pío Baroja 6 28071 Madrid (Madrid)	40.4139056,-3.6743363	C/ Alberto Aguilera, 15 Duplicado - 28015 - MADRID	40.4298077,-3.7095272
13	49398	Calle PIO BAROJA 6 28009 Madrid (Madrid)	40.4139056,-3.6743363	C/ Pío Baroja, 6 - 28009 - MADRID	40.4139171,-3.674496
80	44279	Paseo de la Castellana 183 28071 Madrid (Madrid)	40.4639201,-3.69017	Paseo de la Castellana, 183 (entrada por Estébanez Calderón, 2) 28071 - Madrid.	40.4636462,-3.691055
84	1272	Calle Panamá 1 28036 Madrid (Madrid)	40.4574799,-3.6892	C/ Panamá, 1	40.4567256,-3.6890582
14	1274	Calle María de Molina 50 28071 Madrid (Madrid)	40.4372153,-3.6807443	C/ María de Molina, 50	40.437163,-3.6809054
59	1275	Paseo De la Castellana 162 28036 Madrid (Madrid)	40.4583429,-3.6893451	C/ Alberto Alcocer, 2	40.4586557,-3.6887744
17	1276	Avenida General Perón 38 28020 Madrid (Madrid)	40.451884,-3.6927047	Avda. General Perón, 38	40.4519359,-3.692902
14	26666	Calle María de Molina 50 28006 Madrid (Madrid)	40.4372153,-3.6807443	C/ María de Molina, 50	40.437163,-3.6809054
6	1283	Avenida Cardenal Herrera Oria 378 28071 Madrid (Madrid)	40.4765303,-3.7446241	Av del Cardenal Herrera Oria, 378, 28035 Madrid	40.4765183,-3.744701
12	1288	Calle Amador de los Ríos 7 28071 Madrid (Madrid)	40.4274463,-3.691341	C/ Amador de los Ríos, 7 28010 - Madrid	40.4275233,-3.6914496
12	1289	Calle Amador de los Ríos 7 28071 Madrid (Madrid)	40.4274463,-3.691341	C/ Amador de los Ríos, 7 28010 - Madrid	40.4275233,-3.6914496
10	1290	Calle Quintiliano 21 28002 Madrid (Madrid)	40.4398521,-3.6747384	C/ Quintiliano, 21 28002 - Madrid	40.4398983,-3.674845
12037	1291	Calle Amador de los Ríos 2 28071 Madrid (Madrid)	40.4269323,-3.6912443	C/ Cabo López Martínez S/N El Pardo 28048 - Madrid	40.5153422,-3.7732823
34	49426	Plaza Del Rey 6 28004 Madrid (Madrid)	40.4200512,-3.6958924	Plaza Del Rey 6 28004 Madrid (Madrid)	40.4199586,-3.6962756
399	1302	Calle Josefa Valcárcel 28 28027 Madrid (Madrid)	40.4491629,-3.6446758	C/ Josefa Valcarcel, 28 y 44 28071 - Madrid	40.4482923,-3.6400921
1054	1307	Calle San Bernardo 45 28071 Madrid (Madrid)	40.4241396,-3.7076358	Calle Bolsa 8 28071 Madrid	40.4149294,-3.7046678
1685	1309	Calle San Bernardo 45 28015 Madrid (Madrid)	40.4241396,-3.7076358	Calle Ayala 5 28001 Madrid	40.4279467,-3.6883634
4	1312	Calle San Bernardo 62 28071 Madrid (Madrid)	40.4259057,-3.7070242	Calle San Bernardo 62 28071 Madrid	40.4258924,-3.7070723
166	1313	Calle Plaza de Jacinto Benavente 3 28071 Madrid (Madrid)	40.4146872,-3.704507	Calle Plaza de Jacinto Benavente 3 28071 Madrid	40.4144673,-3.7025633
4	1314	Calle San Bernardo 21 28015 Madrid (Madrid)	40.4226482,-3.7077512	Calle San Bernardo 21 28015 Madrid	40.4226667,-3.7078041
6	47396	Calle Benificiencia 8 28004 Madrid (Madrid)	40.4259384,-3.6995541	C/ Beneficencia, 8 - 28004 - Madrid	40.4259499,-3.6996332
10	48850	Julián Camarillo, 30, 28037 Madrid	40.4352015,-3.6264268	Julián Camarillo, 30 - 28037 Madrid	40.4352404,-3.6263175
11	1244	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
861	41234	Paseo Castellana 147 28020 Madrid (Madrid)	40.4603221,-3.6907088	C/ Infanta Mercedes, 37	40.455583,-3.6987623
24	46383	Paseo de la Castellana 160 28046 Madrid (Madrid)	40.4577396,-3.6888392	Pº de la Castellana 160. 28046 Madrid	40.4579257,-3.6889917
24	46385	Paseo de la Castellana 160 28046 Madrid (Madrid)	40.4577396,-3.6888392	Pº de la Castellana 160. 28046 Madrid	40.4579257,-3.6889917
11	1335	Calle Hernani 59 28020 Madrid (Madrid)	40.4481687,-3.6973538	Calle de Hernani, 59. Planta baja - Madrid 280201	40.4482095,-3.6974783
11	49469	Paseo De la Castellana 67 28071 Madrid (Madrid)	40.4435818,-3.6935795	Paseo de la Castellana 67, 28071 Madrid	40.4435346,-3.6936947
21	1344	Avda Portugal 81, 28011, Madrid, Comunidad Madrid, España	40.4140594,-3.7295857	Avda. Portugal, 81 - 28071 - MADRID	40.4141843,-3.7297731
26	49476	Paseo De la Castellana 109 28071 Madrid (Madrid)	40.4555839,-3.691453	Paseo de la Castellana núm. 109 - 28071 Madrid	40.4556126,-3.6917607
6	37190	Calle Hermosilla 66 28001 Madrid (Madrid)	40.425947,-3.6791805	C/ Hermosilla, 66 - 28001 - MADRID	40.4259692,-3.6792495
2127	49479	Calle Cea Bermúdez 35-37 28071 Madrid (Madrid)	40.4387243,-3.7118179	C/ Amador de los Ríos, 7 28010 - Madrid	40.4275233,-3.6914496
12	31117	Calle Amador de los Ríos 7 28071 Madrid (Madrid)	40.4274463,-3.691341	C/ Amador de los Ríos, 7 28010 - Madrid	40.4275233,-3.6914496
8	1362	Calle Montalbán 8 28014 Madrid (Madrid)	40.4178992,-3.690159	Calle Montalbán 8 28014 Madrid	40.4178786,-3.6902537
43	1363	Plaza Marina Española 9 28013 Madrid (Madrid)	40.4206389,-3.71244	Plaza Marina Española 9 28013 Madrid (Madrid)	40.4208423,-3.7120028
92	37204	Paseo de la Castellana 63 28071 Madrid (Madrid)	40.441416,-3.6919265	Paseo de la Castellana, 63 - 28046 - MADRID	40.4422092,-3.6922359
54	49721	Calle Bailén S/N, 28071, Madrid, Comunidad Madrid, España	40.417955,-3.714312	Calle Bailén S/N 28071 Madrid (Madrid)	40.418434, -3.714182
6	49580	Calle Poeta Joan Maragall 41 28071 Madrid (Madrid)	40.4603502,-3.6926738	C/ Poeta Joan Maragall, 41 - 28020, Madrid	40.4603328,-3.6927446
92	37209	Paseo de la Castellana 63 28071 Madrid (Madrid)	40.441416,-3.6919265	Paseo de la Castellana, 63 - 28046 - MADRID	40.4422092,-3.6922359
10	30042	Calle Martín Fierro 5 28040 Madrid (Madrid)	40.4367195,-3.7322106	Calle Martín Fierro 5 28040 Madrid	40.4367474,-3.7323346
65	48479	Plaza San Juan de la Cruz s/n 28071 Madrid (Madrid)	40.441279,-3.6938415	Plaza San Juan de la Cruz s/n - Madrid 28071	40.4418079,-3.6935009
58	1424	Calle Génova 20 y 24 28004 Madrid (Madrid)	40.4263065,-3.6932359	C/ Génova, 20 y 24 - 28004 - MADRID	40.4259358,-3.6927505
65	48484	Plaza San Juan de la Cruz s/n 28071 Madrid (Madrid)	40.441279,-3.6938415	Plaza San Juan de la Cruz s/n - Madrid 28071	40.4418079,-3.6935009
506	1383	Avenida Monforte de Lemos 3 28071 Madrid (Madrid)	40.4751479,-3.6882748	C/ Monforte de Lemos 1, Pabellón 8. 28029 Madrid, España	40.4747169,-3.6942329
24	43580	Calle Guzmán el Bueno 139 28003 Madrid (Madrid)	40.4454613,-3.7131352	Calle Guzmán el Bueno, 139 28003 Madrid	40.4454703,-3.7128423
19	48490	Calle Almagro 33 28071 Madrid (Madrid)	40.4325031,-3.6917344	C/ Almagro, 33 – 5ª Planta 28010 - Madrid	40.4324921,-3.691962
19	48492	Calle Almagro 33 28071 Madrid (Madrid)	40.4325031,-3.6917344	C/ Almagro, 33 – 5ª Planta 28010 - Madrid	40.4324921,-3.691962
7	48494	Avenida Gran Vía de San Francisco 4-6 28005 Madrid (Madrid)	40.4077415,-3.7121846	Gran Vía de San Francisco, 4 – Madrid 28071	40.4077546,-3.7122717
1151	49214	Calle Alcalá 34, 28014, Madrid, Comunidad Madrid, España	40.4180686,-3.6973894	Calle Santa Isabel, 52 28012 Madrid	40.4079379,-3.6945986
1	30070	Calle Tamayo y Baus 4 28004 Madrid (Madrid)	40.4228731,-3.6927134	Calle Tamayo y Baus 4 28004 Madrid (Madrid)	40.4228732,-3.6927288
4	48503	Paseo PASEO DE INFANTA ISABEL 1, 28014, Madrid, Comunidad Madrid, España	40.4086372,-3.6906168	Paseo Infanta Isabel, 1 – 28014 Madrid	40.4086668,-3.6906518
2135	1428	Calle Condesa de Venadito 9 28027 Madrid (Madrid)	40.4447566,-3.6536728	C/ VICTOR DE LA SERNA,43 28016 - MADRID	40.4577341,-3.6722631
4	48509	Paseo de la Infanta Isabel 1 28014 Madrid (Madrid)	40.4086372,-3.6906168	Paseo Infanta Isabel, 1 – Madrid 28014	40.4086668,-3.6906518
4	48510	Paseo de la Infanta Isabel 1 28014 Madrid (Madrid)	40.4086372,-3.6906168	Paseo Infanta Isabel, 1 – 28014 Madrid	40.4086668,-3.6906518
